,number,value,datetime_start,datetime_complete,duration,params_n_hidden_layers,params_n_neurons_per_layer,state
45,45,0.021091475791840106,2020-08-23 09:09:30.315338,2020-08-23 09:09:42.112012,0 days 00:00:11.796674000,7,18,COMPLETE
46,46,0.02223393504808488,2020-08-23 09:09:42.112632,2020-08-23 09:09:53.401910,0 days 00:00:11.289278000,7,18,COMPLETE
47,47,0.021667351770759357,2020-08-23 09:09:53.402565,2020-08-23 09:10:05.242863,0 days 00:00:11.840298000,7,20,COMPLETE
48,48,0.021930210896945645,2020-08-23 09:10:05.243497,2020-08-23 09:10:16.607152,0 days 00:00:11.363655000,7,19,COMPLETE
49,49,0.0220973074537827,2020-08-23 09:10:16.607766,2020-08-23 09:10:31.442317,0 days 00:00:14.834551000,8,17,COMPLETE
50,50,0.02277201276282249,2020-08-23 09:10:31.443016,2020-08-23 09:10:44.605558,0 days 00:00:13.162542000,7,18,COMPLETE
51,51,0.020845641349253912,2020-08-23 09:10:44.606222,2020-08-23 09:10:57.100770,0 days 00:00:12.494548000,8,16,COMPLETE
52,52,0.02240831752130258,2020-08-23 09:10:57.101417,2020-08-23 09:11:12.934868,0 days 00:00:15.833451000,8,17,COMPLETE
53,53,0.02226926975749762,2020-08-23 09:11:12.935534,2020-08-23 09:11:24.061242,0 days 00:00:11.125708000,7,16,COMPLETE
54,54,0.021596591251254113,2020-08-23 09:11:24.061955,2020-08-23 09:11:34.270522,0 days 00:00:10.208567000,6,17,COMPLETE
55,55,0.021564972276721554,2020-08-23 09:11:34.271216,2020-08-23 09:11:44.688414,0 days 00:00:10.417198000,6,17,COMPLETE
56,56,0.021947393344273595,2020-08-23 09:11:44.689090,2020-08-23 09:11:54.939133,0 days 00:00:10.250043000,6,18,COMPLETE
57,57,0.021488281441345493,2020-08-23 09:11:54.939789,2020-08-23 09:12:05.308322,0 days 00:00:10.368533000,6,15,COMPLETE
58,58,0.021946313416209305,2020-08-23 09:12:05.309015,2020-08-23 09:12:14.450215,0 days 00:00:09.141200000,5,19,COMPLETE
59,59,0.02191090459548976,2020-08-23 09:12:14.450865,2020-08-23 09:12:24.676032,0 days 00:00:10.225167000,6,16,COMPLETE
60,60,0.02241641249595262,2020-08-23 09:12:24.676678,2020-08-23 09:12:36.317077,0 days 00:00:11.640399000,6,18,COMPLETE
61,61,0.02258431693115749,2020-08-23 09:12:36.317721,2020-08-23 09:12:46.330224,0 days 00:00:10.012503000,6,15,COMPLETE
62,62,0.021444181538834827,2020-08-23 09:12:46.330863,2020-08-23 09:12:55.338789,0 days 00:00:09.007926000,5,15,COMPLETE
63,63,0.022151414756777538,2020-08-23 09:12:55.339426,2020-08-23 09:13:04.274829,0 days 00:00:08.935403000,5,16,COMPLETE
64,64,0.02202389407019214,2020-08-23 09:13:04.275465,2020-08-23 09:13:13.609150,0 days 00:00:09.333685000,5,17,COMPLETE
65,65,0.02115221500732733,2020-08-23 09:13:13.609797,2020-08-23 09:13:23.797047,0 days 00:00:10.187250000,6,15,COMPLETE
