,number,value,datetime_start,datetime_complete,duration,params_n_hidden_layers,params_n_neurons_per_layer,state
0,0,0.005761987186224308,2020-08-23 10:04:18.675329,2020-08-23 10:08:04.112766,0 days 00:03:45.437437000,10,20,COMPLETE
1,1,0.0049537515024113766,2020-08-23 10:08:04.113441,2020-08-23 10:11:44.881942,0 days 00:03:40.768501000,10,19,COMPLETE
2,2,0.007831340238019863,2020-08-23 10:11:44.882615,2020-08-23 10:13:33.764218,0 days 00:01:48.881603000,5,15,COMPLETE
3,3,0.003779046525425249,2020-08-23 10:13:33.764887,2020-08-23 10:15:46.382699,0 days 00:02:12.617812000,5,24,COMPLETE
4,4,0.008987088325646425,2020-08-23 10:15:46.383425,2020-08-23 10:18:08.706651,0 days 00:02:22.323226000,6,19,COMPLETE
5,5,0.004042228163040318,2020-08-23 10:18:08.707311,2020-08-23 10:20:45.304870,0 days 00:02:36.597559000,7,17,COMPLETE
6,6,0.007340806659387175,2020-08-23 10:20:45.305562,2020-08-23 10:24:00.280714,0 days 00:03:14.975152000,10,16,COMPLETE
7,7,0.005106693074957777,2020-08-23 10:24:00.281397,2020-08-23 10:26:42.384095,0 days 00:02:42.102698000,7,19,COMPLETE
8,8,0.0031200896388167924,2020-08-23 10:26:42.384821,2020-08-23 10:30:41.050868,0 days 00:03:58.666047000,10,23,COMPLETE
9,9,0.0034228355599985895,2020-08-23 10:30:41.051531,2020-08-23 10:33:20.110135,0 days 00:02:39.058604000,7,18,COMPLETE
10,10,0.004168430933957029,2020-08-23 10:33:20.110778,2020-08-23 10:37:06.198415,0 days 00:03:46.087637000,9,25,COMPLETE
11,11,0.0046978407045477994,2020-08-23 10:37:06.199093,2020-08-23 10:40:17.504515,0 days 00:03:11.305422000,8,22,COMPLETE
12,12,0.0031153149457293482,2020-08-23 10:40:17.505210,2020-08-23 10:43:30.096549,0 days 00:03:12.591339000,8,22,COMPLETE
13,13,0.0032707478670007495,2020-08-23 10:43:30.097252,2020-08-23 10:47:04.277765,0 days 00:03:34.180513000,9,22,COMPLETE
14,14,0.005275250885424471,2020-08-23 10:47:04.278470,2020-08-23 10:50:41.480618,0 days 00:03:37.202148000,9,23,COMPLETE
15,15,0.0025191843065860116,2020-08-23 10:50:41.481320,2020-08-23 10:53:51.219670,0 days 00:03:09.738350000,8,21,COMPLETE
16,16,0.005356389000954551,2020-08-23 10:53:51.220393,2020-08-23 10:56:59.817117,0 days 00:03:08.596724000,8,21,COMPLETE
17,17,0.0026096381593057783,2020-08-23 10:56:59.817804,2020-08-23 11:00:08.870768,0 days 00:03:09.052964000,8,21,COMPLETE
18,18,0.0039682260285907435,2020-08-23 11:00:08.871737,2020-08-23 11:02:36.427638,0 days 00:02:27.555901000,6,21,COMPLETE
19,19,0.0029674475618593973,2020-08-23 11:02:36.428308,2020-08-23 11:05:40.497574,0 days 00:03:04.069266000,8,20,COMPLETE
