t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
11,-61.48074989,-60.43626877,-59.41231421,-58.39055694,-57.36887235,-56.34705184,-55.32506032,-54.30287299,-53.28046177,-52.25779362,-51.23482936,-50.21152227,-49.18781642,-48.16364441,-47.13892457,-46.11355733,-45.08742051,-44.06036306,-43.0321969,-42.00268585,-40.97153063,-39.93834826,-38.90264304,-37.86376505,-36.82084906,-35.77272153,-34.71775353,-33.65362064,-32.57691705,-31.48262663,-30.36379146,-29.21264542,-28.0255852,-26.81293861,-25.60748302,-24.45961186,-23.41742641,-22.50871408,-21.73845444,-21.09696974,-20.56859641
12,-61.47951062,-60.43254107,-59.40800958,-58.38605495,-57.36421164,-56.34222347,-55.32004877,-54.29766005,-53.27502658,-52.25211218,-51.22887394,-50.20526067,-49.18121104,-48.15665114,-47.13149132,-46.10562223,-45.07890951,-44.05118695,-43.02224724,-41.99182967,-40.95960323,-39.92514324,-38.8878983,-37.84714251,-36.80190416,-35.75085552,-34.69213516,-33.62305395,-32.53962697,-31.43597935,-30.30417438,-29.13616716,-27.930445,-26.70294699,-25.4933557,-24.35497526,-23.33250526,-22.44748979,-21.70001581,-21.07802329,-20.56522839
13,-61.47832203,-60.42885296,-59.4037126,-58.38155236,-57.35954887,-56.33739261,-55.31503434,-54.29244381,-53.26958758,-52.2464263,-51.2229133,-50.1989929,-49.17459832,-48.14964904,-47.12404737,-46.097674,-45.07038226,-44.04199045,-43.01227167,-41.98094011,-40.94763211,-39.91187996,-38.87307437,-37.83040978,-36.78280169,-35.72875658,-34.6661586,-33.59191317,-32.50139032,-31.38778954,-30.24224484,-29.0568274,-27.83292764,-26.59269447,-25.38203806,-24.25545434,-23.25320267,-22.39092324,-21.66466758,-21.06061333,-20.56212821
14,-61.47717914,-60.42520368,-59.39942374,-58.37704932,-57.35488405,-56.33255925,-55.31001704,-54.28722426,-53.26414475,-52.24073597,-51.21694744,-50.19271895,-49.16797822,-48.14263808,-47.11659265,-46.08971258,-45.06183863,-44.03277339,-43.00226996,-41.97001678,-40.9356167,-39.8985575,-38.85816968,-37.81356416,-36.7635367,-35.70641518,-34.63980482,-33.56016061,-32.46213924,-31.33796143,-30.17793581,-28.97472959,-27.73343766,-26.48275941,-25.27386718,-24.16087471,-23.17898258,-22.33843185,-21.63198254,-21.04452129,-20.55925816
15,-61.47607756,-60.42159241,-59.39514342,-58.37254599,-57.35021723,-56.32772339,-55.30499686,-54.2820014,-53.25869808,-52.23504116,-51.21097633,-50.18643879,-49.16135073,-48.13561821,-47.10912712,-46.08173787,-45.05327852,-44.02353561,-42.99224183,-41.95905932,-40.92355639,-39.88517487,-38.84318262,-37.79660279,-36.74410392,-35.68382103,-34.61305309,-33.52775565,-32.42180329,-31.28640421,-30.11120529,-28.89002088,-27.63239553,-26.373649,-25.16905985,-24.07100906,-23.10935965,-22.28952905,-21.60161484,-21.02957202,-20.55658797
16,-61.47501338,-60.41801831,-59.39087204,-58.36804253,-57.34554842,-56.32288503,-55.29997379,-54.27677522,-53.25324757,-52.22934186,-51.20499996,-50.1801524,-49.1547158,-48.12858939,-47.1016507,-46.07374979,-45.04470179,-44.01427692,-42.98218705,-41.94806731,-40.91145057,-39.87173109,-38.82811148,-37.77952266,-36.72449768,-35.66096295,-34.58588085,-33.49465477,-32.38031034,-31.23303434,-30.04203793,-28.80288636,-27.53022289,-26.2657949,-25.06773573,-23.98560267,-23.04389946,-22.24380577,-21.57328081,-21.01562297,-20.55409297
17,-61.47398314,-60.41448053,-59.38660995,-58.3635391,-57.34087766,-56.31804416,-55.29494783,-54.2715457,-53.24779319,-52.22363807,-51.19901829,-50.17385976,-49.1480734,-48.12155158,-47.09416335,-46.06574826,-45.03610834,-44.00499717,-42.97210534,-41.93704037,-40.89929861,-39.85822512,-38.8129545,-37.7623206,-36.70471194,-35.63782882,-34.55826369,-33.46081179,-32.3375876,-31.17777764,-29.97044568,-28.71354247,-27.42733007,-26.15955405,-24.96993854,-23.90439075,-22.98221555,-22.20091578,-21.54674503,-21.00255656,-20.5517528
18,-61.47298375,-60.41097817,-59.38235747,-58.35903586,-57.33620498,-56.3132008,-55.28991897,-54.26631284,-53.24233495,-52.21792976,-51.19303133,-50.16756083,-49.1414235,-48.11450473,-47.08666499,-46.0577332,-45.02749803,-43.99569615,-42.96199644,-41.92597807,-40.88709984,-39.84465587,-38.79770983,-37.74499323,-36.68474018,-35.61440553,-34.53017524,-33.42617808,-32.29356274,-31.12057119,-29.89646756,-28.62222984,-27.3241065,-26.05521283,-24.87565449,-23.82710967,-22.92396509,-22.16056397,-21.52181007,-20.99027468,-20.54955044
19,-61.47201246,-60.40751035,-59.37811489,-58.35453297,-57.33153041,-56.30835494,-55.2848872,-54.26107664,-53.23687282,-52.21221692,-51.18703905,-50.16125561,-49.13476608,-48.1074488,-47.07915557,-46.04970452,-45.01887074,-43.9863737,-42.95186007,-41.91488,-40.87485361,-39.83102224,-38.78237553,-37.72753697,-36.6645754,-35.59067887,-34.5015872,-33.3907029,-32.24816498,-31.06136486,-29.82016863,-28.52920617,-27.2209136,-25.95299345,-24.78482749,-23.75350397,-22.86884419,-22.12249721,-21.49830879,-20.9786946,-20.54747153
20,-61.47106683,-60.40407617,-59.37388248,-58.35003058,-57.32685399,-56.30350657,-55.27985252,-54.25583707,-53.2314068,-52.20649954,-51.18104142,-50.15494405,-49.12810108,-48.10038374,-47.07163502,-46.04166212,-45.01022636,-43.97702964,-42.94169596,-41.90374573,-40.86255921,-39.81732307,-38.76694955,-37.70994801,-36.64421008,-35.56663352,-34.47246932,-33.3543338,-32.20132626,-31.00012256,-29.74163819,-28.43473939,-27.11808018,-25.85306144,-24.69737139,-23.6833304,-22.81658324,-22.08649698,-21.4760985,-20.96774594,-20.54550381
