t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
210,-61.36715381,-59.95081784,-58.70072129,-57.54294049,-56.43338564,-55.34641577,-54.26755008,-53.18865696,-52.10482208,-51.01228612,-49.9068491,-48.78205852,-47.62632528,-46.41795453,-45.11752956,-43.65982096,-41.95519143,-39.92191969,-37.56332282,-35.03762054,-32.60540588,-30.4694063,-28.69416746,-27.25135518,-26.08259624,-25.13073626,-24.34889605,-23.70085423,-23.15910875,-22.70277276,-22.31585664,-21.98598233,-21.70344983,-21.46056427,-21.25114944,-21.07019314,-20.91358617,-20.77792782,-20.66037949,-20.55855307,-20.47042507
211,-61.36669069,-59.94874898,-58.69748096,-57.53884545,-56.42865658,-55.34118977,-54.26189385,-53.18257939,-52.09828041,-51.00517809,-49.89897843,-48.77305146,-47.6154609,-46.40386525,-45.09777466,-43.63054372,-41.9115608,-39.86049065,-37.48613772,-34.95381872,-32.52607956,-30.40105128,-28.63802661,-27.20608584,-26.04622922,-25.10145469,-24.32522537,-23.68164848,-23.1434874,-22.69005761,-22.30552087,-21.97761222,-21.6967166,-21.45520358,-21.24694634,-21.06697101,-20.91119846,-20.77625186,-20.65931177,-20.55800561,-20.47032259
212,-61.36622769,-59.9466807,-58.69424121,-57.53475033,-56.42392629,-55.33596109,-54.25623323,-53.17649528,-52.09172914,-50.99805516,-49.89108272,-48.76399891,-47.60451024,-46.38961218,-45.0777218,-43.60077137,-41.86722552,-39.79828544,-37.40841285,-34.86995865,-32.44710413,-30.33320856,-28.58238717,-27.16124376,-26.01020745,-25.07244693,-24.30177092,-23.6626137,-23.12800159,-22.67745015,-22.29527074,-21.9693101,-21.6900371,-21.44988498,-21.24277576,-21.0637735,-20.90882878,-20.77458844,-20.65825196,-20.55746216,-20.47022086
213,-61.36576482,-59.944613,-58.69100201,-57.53065513,-56.41919477,-55.33072969,-54.25056817,-53.1704046,-52.08516814,-50.9909171,-49.88316141,-48.75489976,-47.59347108,-46.37519121,-45.05736432,-43.57049533,-41.82217921,-39.73530775,-37.33016563,-34.78606135,-32.3684911,-30.26587952,-28.52724577,-27.11682443,-25.97452674,-25.04370953,-24.27852993,-23.64374769,-23.11264962,-22.66494907,-22.28510521,-21.96107514,-21.68341068,-21.44460798,-21.23863736,-21.06060033,-20.90647695,-20.77293741,-20.65719997,-20.5569227,-20.47011987
214,-61.36530206,-59.94254583,-58.68776335,-57.52655982,-56.41446197,-55.32549556,-54.24489864,-53.16430727,-52.07859731,-50.98376364,-49.87521398,-48.74575286,-47.58234114,-46.36059817,-45.0366955,-43.53970704,-41.77641574,-39.6715618,-37.25141388,-34.70214763,-32.29025146,-30.19906522,-28.47259893,-27.07282338,-25.93918299,-25.01523907,-24.25549969,-23.62504836,-23.09742983,-22.65255306,-22.27502326,-21.95290656,-21.67683673,-21.43937211,-21.23453075,-21.05745124,-20.90414276,-20.77129863,-20.65615572,-20.55638717,-20.47001962
215,-61.36483941,-59.9404792,-58.6845252,-57.52246437,-56.4097279,-55.32025866,-54.23922461,-53.15820325,-52.07201651,-50.97659453,-49.86723985,-48.73655704,-47.57111808,-46.34582879,-45.01570853,-43.50839792,-41.72992924,-39.60705237,-37.1721758,-34.61823797,-32.21239567,-30.13276644,-28.4184431,-27.02923612,-25.90417211,-24.9870322,-24.23267753,-23.60651358,-23.08234058,-22.64026084,-22.26502389,-21.94480358,-21.67031465,-21.4341769,-21.23045559,-21.05432596,-20.90182602,-20.76967198,-20.65511913,-20.55585553,-20.46992008
216,-61.36437686,-59.93841308,-58.68128752,-57.51836875,-56.40499251,-55.31501898,-54.23354605,-53.15209246,-52.06542563,-50.96940949,-49.85923845,-48.72731108,-47.55979952,-46.33087874,-44.99439649,-43.47655943,-41.68271416,-39.5417848,-37.0924699,-34.53435259,-32.13493366,-30.06698364,-28.36477466,-26.98605823,-25.86949009,-24.95908559,-24.21006083,-23.58814131,-23.06738026,-22.62807115,-22.25510612,-21.93676543,-21.66384383,-21.42902189,-21.22641152,-21.05122423,-20.89952653,-20.76805733,-20.65409011,-20.55532774,-20.46982126
217,-61.36391442,-59.93634744,-58.67805031,-57.51427296,-56.4002558,-55.3097765,-54.22786292,-53.14597485,-52.05882453,-50.96220825,-49.85120918,-48.71801375,-47.54838301,-46.31574358,-44.9727524,-43.44418302,-41.6347652,-39.475765,-37.01231506,-34.45051136,-32.05787484,-30.00171701,-28.31158991,-26.94328528,-25.83513293,-24.93139599,-24.18764699,-23.56992952,-23.05254728,-22.61598277,-22.24526898,-21.92879136,-21.65742369,-21.42390662,-21.22239819,-21.04814578,-20.89724411,-20.76645454,-20.65306858,-20.55480376,-20.46972315
218,-61.36345208,-59.93428229,-58.67481353,-57.51017695,-56.39551773,-55.30453119,-54.22217519,-53.13985035,-52.05221308,-50.95499051,-49.84315144,-48.70866379,-47.53686606,-46.3004188,-44.9507692,-43.41126019,-41.5860774,-39.40899943,-36.93173042,-34.36673383,-31.98122812,-29.93696648,-28.25888509,-26.90091286,-25.80109672,-24.90396018,-24.16543346,-23.55187621,-23.0378401,-22.60399446,-22.23551152,-21.92088061,-21.65105366,-21.41883065,-21.21841526,-21.04509036,-20.89497858,-20.76486348,-20.65205446,-20.55428355,-20.46962574
219,-61.36298983,-59.93221758,-58.67157716,-57.50608071,-56.39077829,-55.29928302,-54.21648282,-53.13371889,-52.04559114,-50.947756,-49.83506458,-48.69925987,-47.52524609,-46.2848998,-44.92843973,-43.37778246,-41.5366461,-39.34149511,-36.85073543,-34.28303915,-31.9050019,-29.87273175,-28.20665638,-26.85893662,-25.76737758,-24.87677499,-24.14341775,-23.53397942,-23.02325717,-22.59210503,-22.2258328,-21.91303246,-21.64473315,-21.41379353,-21.21446239,-21.04205772,-20.89272975,-20.76328404,-20.65104767,-20.55376708,-20.46952903
220,-61.36252767,-59.93015331,-58.66834118,-57.50198422,-56.38603746,-55.29403198,-54.21078577,-53.12758041,-52.03895857,-50.94050439,-49.82694796,-48.68980066,-47.5135205,-46.2691819,-44.90575676,-43.3437414,-41.48646699,-39.27325963,-36.76934977,-34.19944614,-31.8292041,-29.80901223,-28.15489994,-26.81735221,-25.73397166,-24.84983731,-24.12159738,-23.51623722,-23.00879698,-22.5803133,-22.2162319,-21.90524619,-21.6384616,-21.40879483,-21.21053926,-21.0390476,-20.89049744,-20.76171608,-20.65004814,-20.55325429,-20.469433
221,-61.36206559,-59.92808947,-58.66510556,-57.49788745,-56.3812952,-55.28877803,-54.205084,-53.12143483,-52.03231522,-50.93323539,-49.81880092,-48.68028479,-47.50168658,-46.25326032,-44.88271299,-43.30912863,-41.43553608,-39.20430115,-36.68759332,-34.11597318,-31.75384216,-29.74580715,-28.10361184,-26.77615531,-25.70087517,-24.82314404,-24.09996992,-23.49864771,-22.99445805,-22.56861811,-22.20670791,-21.89752109,-21.63223848,-21.40383413,-21.20664554,-21.03605978,-20.88828147,-20.76015949,-20.64905579,-20.55274516,-20.46933765
222,-61.3616036,-59.92602602,-58.66187029,-57.49379037,-56.37655151,-55.28352114,-54.19937749,-53.11528209,-52.02566095,-50.92594866,-49.81062277,-48.67071083,-47.4897416,-46.2371302,-44.85930104,-43.27393582,-41.38384976,-39.13462836,-36.60548621,-34.03263826,-31.67892303,-29.6831155,-28.05278814,-26.73534164,-25.6680844,-24.79669217,-24.07853299,-23.48120901,-22.98023893,-22.55701833,-22.19725994,-21.88985645,-21.62606322,-21.39891099,-21.20278091,-21.03309399,-20.88608168,-20.75861415,-20.64807055,-20.55223964,-20.46924297
223,-61.36114168,-59.92396296,-58.65863533,-57.48969297,-56.37180635,-55.27826131,-54.19366618,-53.1091221,-52.0189956,-50.91864388,-49.80241281,-48.66107735,-47.47768276,-46.2207866,-44.83551347,-43.23815472,-41.33140477,-39.06425052,-36.52304868,-33.94945895,-31.60445322,-29.62093606,-28.00242487,-26.69490694,-25.63559563,-24.7704787,-24.05728422,-23.46391929,-22.96613817,-22.54551281,-22.1878871,-21.88225159,-21.6199353,-21.39402502,-21.19894504,-21.03015002,-20.88389788,-20.75707993,-20.64709233,-20.5517377,-20.46914896
224,-61.36067983,-59.92190026,-58.65540066,-57.48559522,-56.36705971,-55.27299849,-54.18795004,-53.10295479,-52.01231901,-50.91132072,-49.79417031,-48.65138286,-47.46550718,-46.20422448,-44.81134274,-43.20177716,-41.27819823,-38.99317745,-36.44030115,-33.86645238,-31.53043878,-29.55926743,-27.952518,-26.65484701,-25.60340522,-24.7445007,-24.0362213,-23.44677674,-22.95215435,-22.53410046,-22.17858854,-21.87470584,-21.61385418,-21.38917579,-21.19513763,-21.02722762,-20.8817299,-20.75555672,-20.64612107,-20.55123929,-20.46905561
225,-61.36021806,-59.91983792,-58.65216627,-57.48149709,-56.36231155,-55.26773266,-54.18222903,-53.09678009,-52.00563102,-50.90397881,-49.78589453,-48.64162583,-47.45321193,-46.18743872,-44.78678128,-43.16479503,-41.22422765,-38.92141947,-36.35726416,-33.78363523,-31.45688531,-29.49810802,-27.90306351,-26.61515765,-25.57150958,-24.71875526,-24.01534194,-23.42977956,-22.93828609,-22.5227802,-22.1693634,-21.86721852,-21.60781936,-21.38436291,-21.19135837,-21.02432656,-20.87957759,-20.7540444,-20.64515669,-20.5507444,-20.4689629
226,-61.35975634,-59.9177759,-58.64893212,-57.47739857,-56.35756187,-55.2624638,-54.1765031,-53.09059791,-51.99893146,-50.8966178,-49.77758471,-48.6318047,-47.44079401,-46.17042411,-44.76182144,-43.12720034,-41.16949094,-38.84898748,-36.2739583,-33.70102372,-31.38379802,-29.43745606,-27.85405733,-26.57583471,-25.53990516,-24.69323952,-23.99464391,-23.41292601,-22.92453201,-22.51155093,-22.16021083,-21.85978898,-21.6018303,-21.37958598,-21.18760695,-21.02144662,-20.87744078,-20.75254287,-20.64419913,-20.55025297,-20.46887085
227,-61.35929469,-59.91571421,-58.64569819,-57.47329962,-56.35281063,-55.25719188,-54.17077222,-53.08440818,-51.99222015,-50.88923732,-49.76924006,-48.62191786,-47.42825035,-46.15317536,-44.73645552,-43.0889852,-41.11398642,-38.77589289,-36.19040427,-33.61863362,-31.31118167,-29.37730961,-27.80549539,-26.53687408,-25.50858845,-24.66795068,-23.97412499,-23.39621436,-22.91089077,-22.50041162,-22.15113002,-21.85241657,-21.59588652,-21.37484461,-21.18388309,-21.01858757,-20.8753193,-20.75105201,-20.64324831,-20.54976497,-20.46877943
228,-61.3588331,-59.9136528,-58.64246447,-57.46920023,-56.3480578,-55.25191686,-54.16503633,-53.0782108,-51.98549693,-50.88183698,-49.76085978,-48.61196368,-47.41557783,-46.13568709,-44.71067574,-43.05014181,-41.05771284,-38.70214761,-36.10662276,-33.53648021,-31.23904064,-29.31766661,-27.7573736,-26.49827167,-25.47755598,-24.64288596,-23.95378299,-23.37964291,-22.89736104,-22.48936122,-22.14212015,-21.84510066,-21.58998751,-21.37013842,-21.18018648,-21.0157492,-20.87321299,-20.7495717,-20.64230417,-20.54928038,-20.46868864
229,-61.35837155,-59.91159168,-58.63923093,-57.46510038,-56.34330338,-55.24663873,-54.1592954,-53.07200569,-51.97876161,-50.87441641,-49.75244302,-48.60194047,-47.40277324,-46.11795381,-44.6844743,-43.01066253,-41.00066936,-38.6277641,-36.02263449,-33.4545783,-31.16737889,-29.2585248,-27.70968786,-26.46002346,-25.44680435,-24.61804262,-23.93361579,-23.36320997,-22.8839415,-22.47839871,-22.13318042,-21.83784062,-21.58413279,-21.36546702,-21.17651683,-21.01293128,-20.8711217,-20.74810185,-20.64136664,-20.54879914,-20.46859849
230,-61.35791006,-59.90953083,-58.63599754,-57.46100003,-56.33854733,-55.24135744,-54.15354937,-53.06579276,-51.972014,-50.86697518,-49.74398896,-48.5918465,-47.38983331,-46.09996998,-44.65784332,-42.97053983,-40.94285559,-38.55275527,-35.93846018,-33.37294223,-31.09620004,-29.19988182,-27.66243406,-26.42212543,-25.41633018,-24.59341798,-23.91362125,-23.34691392,-22.87063087,-22.46752307,-22.12431003,-21.83063583,-21.57832187,-21.36083005,-21.17287387,-21.01013361,-20.86904527,-20.74664234,-20.64043564,-20.54832124,-20.46850895
231,-61.35744861,-59.90747022,-58.63276429,-57.45689916,-56.33378962,-55.23607298,-54.14779821,-53.05957192,-51.96525391,-50.8595129,-49.7354967,-48.58168001,-47.37675471,-46.08172994,-44.63077491,-42.92976631,-40.88427159,-38.47713455,-35.85412047,-33.29158583,-31.02550731,-29.14173518,-27.61560809,-26.38457362,-25.38613015,-24.56900939,-23.89379732,-23.33075311,-22.85742788,-22.45673333,-22.11550821,-21.82348568,-21.57255428,-21.35622713,-21.1692573,-21.00735596,-20.86698355,-20.74519307,-20.63951112,-20.54784663,-20.46842002
232,-61.3569872,-59.90540984,-58.62953115,-57.45279776,-56.32903025,-55.23078531,-54.14204185,-53.05334308,-51.95848114,-50.85202913,-49.72696535,-48.57143918,-47.36353403,-46.06322796,-44.60326111,-42.88833477,-40.82491788,-38.40091583,-35.76963594,-33.21052245,-30.95530358,-29.08408224,-27.56920585,-26.3473641,-25.35620098,-24.54481422,-23.87414193,-23.31472596,-22.84433129,-22.4460285,-22.1067742,-21.81638957,-21.56682954,-21.35165791,-21.16566686,-21.00459814,-20.86493639,-20.74375393,-20.63859301,-20.54737529,-20.4683317
233,-61.35652583,-59.90334968,-58.62629809,-57.44869579,-56.32426917,-55.22549441,-54.13628026,-53.04710614,-51.95169548,-50.84452343,-49.71839399,-48.56112216,-47.3501678,-46.04445822,-44.57529393,-42.84623811,-40.76479543,-38.32411347,-35.6850271,-33.12976497,-30.8855914,-29.02692029,-27.52322322,-26.31049297,-25.32653943,-24.5208299,-23.85465307,-23.29883088,-22.83133987,-22.43540761,-22.09810724,-21.80934691,-21.56114721,-21.34712203,-21.16210226,-21.00185994,-20.86290364,-20.74232483,-20.63768124,-20.54690718,-20.46824398
234,-61.35606449,-59.90128971,-58.6230651,-57.44459324,-56.31950637,-55.22020023,-54.13051338,-53.04086099,-51.94489673,-50.83699536,-49.70978167,-48.55072705,-47.33665246,-46.02541482,-44.54686536,-42.80346947,-40.7039057,-38.24674226,-35.6003143,-33.04932574,-30.81637297,-28.97024647,-27.4776561,-26.2739564,-25.29714231,-24.49705391,-23.83532876,-23.28306634,-22.81845239,-22.42486973,-22.08950659,-21.80235712,-21.55550682,-21.34261913,-21.15856324,-20.99914115,-20.86088514,-20.74090566,-20.63677575,-20.54644226,-20.46815686
235,-61.35560318,-59.89922993,-58.61983216,-57.44049008,-56.31474182,-55.21490275,-54.12474116,-53.03460755,-51.93808467,-50.82944445,-49.70112743,-48.54025189,-47.32298439,-46.00609177,-44.51796734,-42.76002212,-40.6422506,-38.16881743,-35.51551779,-32.96921667,-30.74765018,-28.91405786,-27.4325004,-26.23775057,-25.26800646,-24.47348373,-23.81616705,-23.26743081,-22.80566769,-22.41441392,-22.08097152,-21.79541963,-21.54990792,-21.33814886,-21.15504953,-20.99644158,-20.85888076,-20.73949631,-20.63587648,-20.54598052,-20.46807033
236,-61.3551419,-59.89717031,-58.61659924,-57.43638628,-56.30997549,-55.20960195,-54.11896354,-53.0283457,-51.93125908,-50.82187023,-49.69243026,-48.52969471,-47.30915989,-45.98648298,-44.48859182,-42.71588956,-40.57983256,-38.09035461,-35.43065761,-32.88944913,-30.6794246,-28.85835143,-27.38775202,-26.20187171,-25.23912878,-24.45011691,-23.79716599,-23.25192277,-22.79298457,-22.40403925,-22.0725013,-21.78853387,-21.54435009,-21.33371089,-21.15156087,-20.99376103,-20.85689036,-20.7380967,-20.63498336,-20.54552191,-20.46798438
237,-61.35468063,-59.89511085,-58.61336632,-57.43228183,-56.30520737,-55.20429778,-54.11318048,-53.02207533,-51.92441973,-50.8142722,-49.68368913,-48.51905344,-47.29517521,-45.9665823,-44.45873071,-42.67106548,-40.51665448,-38.01136985,-35.34575363,-32.81003405,-30.61169754,-28.80312406,-27.34340688,-26.16631609,-25.2105062,-24.42695102,-23.77832371,-23.23654076,-22.78040189,-22.39374483,-22.06409522,-21.78169928,-21.53883287,-21.32930488,-21.14809701,-20.99109931,-20.85491379,-20.73670673,-20.63409635,-20.54506641,-20.46789901
238,-61.35421939,-59.89305151,-58.61013338,-57.4281767,-56.30043742,-55.19899021,-54.10739192,-53.01579634,-51.91756638,-50.80664987,-49.67490301,-48.50832602,-47.28102649,-45.94638349,-44.42837591,-42.6255438,-40.45271975,-37.93187956,-35.26082552,-32.73098184,-30.54446999,-28.74837256,-27.29946093,-26.13108003,-25.18213569,-24.40398366,-23.75963832,-23.22128332,-22.7679185,-22.38352976,-22.05575259,-21.77491532,-21.53335584,-21.32493049,-21.14465768,-20.98845622,-20.85295091,-20.73532629,-20.63321536,-20.54461398,-20.46781422
239,-61.35375816,-59.8909923,-58.60690039,-57.42407086,-56.29566562,-55.19367921,-54.10159779,-53.00950861,-51.91069879,-50.79900271,-49.6660708,-48.49751029,-47.26670981,-45.92588021,-44.39751931,-42.57931864,-40.38803228,-37.85190051,-35.1758927,-32.65230247,-30.47774269,-28.69409367,-27.25591012,-26.09615986,-25.15401427,-24.38121248,-23.74110799,-23.206149,-22.75553328,-22.37339317,-22.04747272,-21.76818145,-21.52791859,-21.32058741,-21.14124264,-20.98583158,-20.85100159,-20.7339553,-20.63234036,-20.5441646,-20.46772999
240,-61.35329694,-59.88893318,-58.60366734,-57.41996429,-56.29089194,-55.18836474,-54.09579805,-53.00321202,-51.90381672,-50.7913302,-49.65719141,-48.48660408,-47.25222119,-45.90506607,-44.36615282,-42.53238438,-40.32259648,-37.77144982,-35.09097433,-32.5740054,-30.41151611,-28.64028407,-27.21275042,-26.06155198,-25.126139,-24.35863516,-23.72273092,-23.19113641,-22.74324513,-22.36333418,-22.03925492,-21.76149712,-21.52252068,-21.31627529,-21.13785164,-20.98322521,-20.8490657,-20.73259366,-20.63147127,-20.54371823,-20.46764632
241,-61.35283572,-59.88687416,-58.6004342,-57.41585697,-56.28611636,-55.18304678,-54.08999263,-52.99690646,-51.8969199,-50.78363178,-49.6482637,-48.47560514,-47.23755655,-45.88393456,-44.33426833,-42.48473566,-40.25641723,-37.69054492,-35.00608932,-32.49609965,-30.34579047,-28.58694035,-27.16997781,-26.02725283,-25.09850697,-24.33624941,-23.7045053,-23.17624414,-22.73105296,-22.35335194,-22.03109853,-21.75486182,-21.51716172,-21.31199384,-21.13448444,-20.98063691,-20.84714309,-20.73124128,-20.63060804,-20.54327485,-20.46756321
242,-61.35237451,-59.8848152,-58.59720095,-57.41174887,-56.28133886,-55.17772527,-54.08418147,-52.9905918,-51.89000809,-50.77590691,-49.63928651,-48.46451119,-47.22271175,-45.86247914,-44.30185776,-42.43636736,-40.18949998,-37.60920356,-34.92125628,-32.41859376,-30.28056576,-28.53405907,-27.12758831,-25.99325886,-25.07111531,-24.31405298,-23.68642938,-23.16147082,-22.7189557,-22.34344562,-22.02300288,-21.74827503,-21.5118413,-21.30774272,-21.13114079,-20.97806651,-20.84523364,-20.72989807,-20.62975062,-20.54283443,-20.46748065
243,-61.3519133,-59.8827563,-58.59396757,-57.40763998,-56.27655939,-55.1724002,-54.07836451,-52.98426791,-51.883081,-50.76815499,-49.63025864,-48.45331987,-47.20768255,-45.84069315,-44.26891304,-42.38727464,-40.12185063,-37.52744373,-34.8364935,-32.34149584,-30.21584174,-28.48163674,-27.08557795,-25.9595666,-25.04396121,-24.29204364,-23.66850144,-23.1468151,-22.70695229,-22.33361438,-22.01496733,-21.74173624,-21.50655901,-21.30352164,-21.12782046,-20.97551383,-20.84333722,-20.72856394,-20.62889894,-20.54239694,-20.46739863
244,-61.35145209,-59.88069743,-58.59073403,-57.40353026,-56.27177795,-55.16707152,-54.07254168,-52.97793467,-51.87613835,-50.76037545,-49.62117888,-48.44202881,-47.19246467,-45.81856988,-44.23542612,-42.33745293,-40.05347564,-37.44528373,-34.75181896,-32.26481353,-30.15161795,-28.42966982,-27.04394277,-25.92617259,-25.01704188,-24.27021921,-23.65071976,-23.13227566,-22.69504169,-22.32385741,-22.00699124,-21.73524495,-21.50131448,-21.29933029,-21.12452322,-20.97297869,-20.8414537,-20.7272388,-20.62805296,-20.54196235,-20.46731716
245,-61.35099086,-59.87863859,-58.58750033,-57.39941969,-56.26699449,-55.16173919,-54.06671292,-52.97159193,-51.86917987,-50.75256767,-49.61204596,-48.43063555,-47.17705371,-45.79610252,-44.20138899,-42.28689797,-39.98438195,-37.36274204,-34.66725029,-32.18855404,-30.08789371,-28.37815472,-27.00267887,-25.89307342,-24.99035457,-24.24857752,-23.63308266,-23.11785117,-22.68322287,-22.3141739,-21.99907397,-21.72880065,-21.49610729,-21.29516836,-21.12124882,-20.97046093,-20.83958295,-20.72592257,-20.62721261,-20.54153063,-20.46723622
246,-61.35052963,-59.87657976,-58.58426642,-57.39530825,-56.262209,-55.15640317,-54.06087816,-52.96523957,-51.86220526,-50.74473103,-49.60285859,-48.41913758,-47.16144522,-45.77328422,-44.16679368,-42.2356058,-39.91457702,-37.27983741,-34.58280477,-32.11272415,-30.02466817,-28.32708783,-26.96178234,-25.86026573,-24.96389657,-24.22711646,-23.61558848,-23.10354036,-22.67149483,-22.30456307,-21.9912149,-21.72240286,-21.49093708,-21.29103556,-21.11799706,-20.96796036,-20.83772485,-20.72461516,-20.62637785,-20.54110176,-20.46715581
247,-61.35006838,-59.87452093,-58.5810323,-57.39119591,-56.25742144,-55.15106344,-54.05503733,-52.95887744,-51.85521422,-50.73686489,-49.59361548,-48.40753236,-47.14563466,-45.75010804,-44.13163225,-42.18357276,-39.84406881,-37.19658872,-34.49849932,-32.03733023,-29.96194027,-28.27646549,-26.92124931,-25.82774618,-24.9376652,-24.20583392,-23.59823559,-23.08934193,-22.65985657,-22.29502413,-21.98341342,-21.7160511,-21.48580347,-21.2869316,-21.11476769,-20.96547683,-20.83587928,-20.72331648,-20.62554862,-20.54067571,-20.46707593
248,-61.34960712,-59.87246207,-58.57779795,-57.38708265,-56.25263179,-55.14571993,-54.04919036,-52.9525054,-51.84820643,-50.72896859,-49.58431525,-48.39581726,-47.12961741,-45.72656697,-44.09589683,-42.13079553,-39.77286581,-37.11301507,-34.41435046,-31.96237822,-29.89970876,-28.22628402,-26.88107594,-25.79551149,-24.91165783,-24.18472784,-23.58102239,-23.07525465,-22.6483071,-22.2855563,-21.97566892,-21.7097449,-21.48070609,-21.28285618,-21.1115605,-20.96301016,-20.83404612,-20.72202644,-20.62472486,-20.54025246,-20.46699656
249,-61.34914583,-59.87040317,-58.57456333,-57.38296844,-56.24784001,-55.14037263,-54.04333718,-52.9461233,-51.84118159,-50.72104145,-49.57495653,-48.38398961,-47.11338877,-45.70265394,-44.05957959,-42.07727111,-39.70097698,-37.02913567,-34.33037433,-31.88787366,-29.83797227,-28.17653971,-26.84125842,-25.76355841,-24.88587186,-24.16379619,-23.56394729,-23.06127727,-22.63684547,-22.27615884,-21.9679808,-21.70348378,-21.47564456,-21.27880903,-21.10837527,-20.96056019,-20.83222524,-20.72074498,-20.62390653,-20.53983197,-20.46691772
250,-61.34868451,-59.86834423,-58.57132843,-57.37885327,-56.24304609,-55.13502148,-54.03747771,-52.93973098,-51.83413935,-50.71308278,-49.5655379,-48.37204669,-47.09694396,-45.67836181,-44.0226728,-42.02299687,-39.6284118,-36.94496986,-34.24658667,-31.81382171,-29.77672921,-28.12722886,-26.80179296,-25.73188372,-24.86030473,-24.14303696,-23.54700872,-23.04740858,-22.62547071,-22.266831,-21.96034848,-21.69726728,-21.47061853,-21.27478985,-21.10521179,-20.95812675,-20.83041653,-20.719472,-20.62309358,-20.53941422,-20.46683938
251,-61.34822317,-59.86628521,-58.56809323,-57.3747371,-56.23824998,-55.12966644,-54.03161187,-52.93332828,-51.82707939,-50.70509187,-49.5560579,-48.3599857,-47.08027813,-45.65368338,-43.98516876,-41.9679705,-39.55518024,-36.86053708,-34.16300281,-31.74022713,-29.71597787,-28.0783477,-26.7626758,-25.70048424,-24.8349539,-24.12244817,-23.53020515,-23.03364737,-22.61418189,-22.25757202,-21.95277138,-21.69109495,-21.46562764,-21.27079838,-21.10206984,-20.9557097,-20.82861987,-20.71820743,-20.62228595,-20.53899919,-20.46676155
252,-61.34776179,-59.86422612,-58.5648577,-57.37061991,-56.23345167,-55.12430747,-54.02573959,-52.92691505,-51.82000137,-50.69706798,-49.54651505,-48.3478038,-47.06338633,-45.6286114,-43.9470599,-41.91219007,-39.48129275,-36.77585685,-34.07963766,-31.66709432,-29.65571639,-28.02989249,-26.72390323,-25.66935686,-24.80981689,-24.10202787,-23.51353506,-23.01999247,-22.60297808,-22.2483812,-21.94524892,-21.68496633,-21.46067154,-21.26683434,-21.09894921,-20.95330887,-20.82683515,-20.71695119,-20.62148359,-20.53858685,-20.46668422
253,-61.34730038,-59.86216692,-58.56162183,-57.36650168,-56.22865112,-55.11894452,-54.01986079,-52.92049112,-51.81290491,-50.68901037,-49.53690783,-48.33549809,-47.04626354,-45.60313856,-43.90833871,-41.85565404,-39.40676027,-36.69094872,-33.99650571,-31.59442731,-29.59594277,-27.98185945,-26.68547156,-25.63849847,-24.78489122,-24.08177414,-23.49699695,-23.0064427,-22.59185836,-22.23925781,-21.93778054,-21.67888099,-21.45574988,-21.26289747,-21.0958497,-20.9509241,-20.82506225,-20.71570319,-20.62068646,-20.53817717,-20.46660739
254,-61.34683893,-59.86010762,-58.55838559,-57.36238237,-56.22384829,-55.11357755,-54.01397538,-52.91405631,-51.80578967,-50.68091827,-49.52723467,-48.32306559,-47.02890466,-45.57725748,-43.8689978,-41.79836122,-39.33159419,-36.60583228,-33.913621,-31.52222979,-29.53665489,-27.93424481,-26.6473771,-25.60790601,-24.76017449,-24.0616851,-23.48058936,-22.99299692,-22.58082185,-22.23020114,-21.93036569,-21.67283848,-21.45086232,-21.25898748,-21.0927711,-20.94855524,-20.82330107,-20.71446337,-20.61989451,-20.53777014,-20.46653105
255,-61.34637744,-59.85804818,-58.55514897,-57.35826198,-56.21904317,-55.10820652,-54.00808327,-52.90761046,-51.79865526,-50.67279088,-49.51749397,-48.31050327,-47.01130452,-45.55096075,-43.82902986,-41.74031084,-39.25580641,-36.52052711,-33.83099716,-31.45050509,-29.4778505,-27.88704479,-26.60961625,-25.57757647,-24.73566429,-24.04175887,-23.46431082,-22.979654,-22.56986765,-22.2212105,-21.92300381,-21.66683837,-21.44600851,-21.25510413,-21.08971321,-20.94620214,-20.82155148,-20.71323163,-20.61910768,-20.53736572,-20.4664552
256,-61.3459159,-59.85598861,-58.55191193,-57.35414047,-56.21423572,-55.10283137,-54.00218439,-52.90115337,-51.7915013,-50.6646274,-49.5076841,-48.29780804,-46.99345784,-45.52424089,-43.78842774,-41.68150251,-39.17940924,-36.43505279,-33.74864736,-31.37925623,-29.41952724,-27.8402556,-26.57218541,-25.54750686,-24.71135826,-24.02199361,-23.44815992,-22.96641281,-22.55899489,-22.2122852,-21.91569437,-21.66088025,-21.44118813,-21.25124714,-21.08667582,-20.94386465,-20.81981339,-20.71200792,-20.61832594,-20.5369639,-20.46637983
257,-61.34545431,-59.85392888,-58.54867447,-57.35001781,-56.2094259,-55.09745207,-53.99627864,-52.89468487,-51.78432739,-50.656427,-49.49780338,-48.28497676,-46.97535928,-45.49709041,-43.74718439,-41.62193626,-39.10241546,-36.34942885,-33.66658434,-31.30848588,-29.36168263,-27.79387346,-26.535081,-25.51769424,-24.68725408,-24.00238752,-23.43213523,-22.95327227,-22.5482027,-22.20342457,-21.90843683,-21.65496369,-21.43640085,-21.24741628,-21.08365875,-20.94154262,-20.81808668,-20.71079215,-20.61754923,-20.53656464,-20.46630494
