,number,value,datetime_start,datetime_complete,duration,params_n_hidden_layers,params_n_neurons_per_layer,state
0,0,0.000599575752596822,2020-08-25 21:36:03.599001,2020-08-25 21:37:18.771893,0 days 00:01:15.172892000,3,19,COMPLETE
1,1,0.0019217399753943532,2020-08-25 21:37:19.622389,2020-08-25 21:37:54.220508,0 days 00:00:34.598119000,3,24,COMPLETE
2,2,0.019111877469944666,2020-08-25 21:37:55.111945,2020-08-25 21:39:14.710914,0 days 00:01:19.598969000,11,6,COMPLETE
3,3,0.007059074764308346,2020-08-25 21:39:17.767042,2020-08-25 21:41:46.643823,0 days 00:02:28.876781000,12,21,COMPLETE
4,4,0.0025289535361336215,2020-08-25 21:41:47.371110,2020-08-25 21:45:30.174806,0 days 00:03:42.803696000,8,37,COMPLETE
5,5,0.001273343989069489,2020-08-25 21:45:32.676809,2020-08-25 21:47:06.815499,0 days 00:01:34.138690000,6,18,COMPLETE
6,6,0.007838996536528496,2020-08-25 21:47:07.197647,2020-08-25 21:51:50.627071,0 days 00:04:43.429424000,16,36,COMPLETE
7,7,0.0076522311862365616,2020-08-25 21:51:51.347006,2020-08-25 21:54:40.454014,0 days 00:02:49.107008000,14,15,COMPLETE
8,8,0.011419895465403966,2020-08-25 21:54:41.604905,2020-08-25 21:56:23.925045,0 days 00:01:42.320140000,10,7,COMPLETE
9,9,0.0049628085871920415,2020-08-25 21:56:24.542578,2020-08-25 22:03:51.821224,0 days 00:07:27.278646000,16,40,COMPLETE
10,10,0.0018266507144842868,2020-08-25 22:03:52.589712,2020-08-25 22:05:30.458987,0 days 00:01:37.869275000,1,28,COMPLETE
11,11,0.0041998051247311725,2020-08-25 22:05:31.163239,2020-08-25 22:06:28.339926,0 days 00:00:57.176687000,5,14,COMPLETE
12,12,0.0074572650186250245,2020-08-25 22:06:29.426408,2020-08-25 22:07:43.815080,0 days 00:01:14.388672000,6,14,COMPLETE
13,13,0.061391383692833576,2020-08-25 22:07:44.944151,2020-08-25 22:12:47.383957,0 days 00:05:02.439806000,20,29,COMPLETE
14,14,0.005238794260675936,2020-08-25 22:12:49.158090,2020-08-25 22:13:23.662711,0 days 00:00:34.504621000,1,18,COMPLETE
15,15,0.0020863674057719737,2020-08-25 22:13:24.330718,2020-08-25 22:14:57.392078,0 days 00:01:33.061360000,4,10,COMPLETE
16,16,0.15753069501789613,2020-08-25 22:14:58.098991,2020-08-25 22:16:08.035078,0 days 00:01:09.936087000,8,1,COMPLETE
17,17,0.0019273339971847818,2020-08-25 22:16:08.622566,2020-08-25 22:16:58.986813,0 days 00:00:50.364247000,2,24,COMPLETE
18,18,0.03848016588158078,2020-08-25 22:16:59.360694,2020-08-25 22:18:58.617185,0 days 00:01:59.256491000,7,31,COMPLETE
19,19,0.001269292636086903,2020-08-25 22:18:59.270828,2020-08-25 22:21:12.514420,0 days 00:02:13.243592000,5,19,COMPLETE
20,20,0.00046032073668356616,2020-08-25 22:21:19.464625,2020-08-25 22:23:00.305608,0 days 00:01:40.840983000,3,23,COMPLETE
21,21,0.0013874669036620687,2020-08-25 22:23:01.260729,2020-08-25 22:23:57.956720,0 days 00:00:56.695991000,4,23,COMPLETE
