,number,value,datetime_start,datetime_complete,duration,params_n_hidden_layers,params_n_neurons_per_layer,state
0,0,0.004338130716459596,2020-08-25 21:40:42.299957,2020-08-25 21:47:24.799710,0 days 00:06:42.499753000,20,36,COMPLETE
1,1,0.004920720472391699,2020-08-25 21:47:25.284240,2020-08-25 21:50:45.805118,0 days 00:03:20.520878000,13,15,COMPLETE
2,2,0.004050275425291474,2020-08-25 21:50:46.560242,2020-08-25 21:54:12.985859,0 days 00:03:26.425617000,19,14,COMPLETE
3,3,0.0014022255106501324,2020-08-25 21:54:13.766067,2020-08-25 21:59:58.645312,0 days 00:05:44.879245000,15,36,COMPLETE
4,4,0.0034321568163081587,2020-08-25 21:59:59.473020,2020-08-25 22:06:27.358813,0 days 00:06:27.885793000,15,40,COMPLETE
5,5,0.004664592164966698,2020-08-25 22:06:28.064973,2020-08-25 22:07:42.365800,0 days 00:01:14.300827000,6,13,COMPLETE
6,6,0.0038017682572959394,2020-08-25 22:07:44.819733,2020-08-25 22:09:02.878827,0 days 00:01:18.059094000,4,10,COMPLETE
7,7,0.002598093759894342,2020-08-25 22:09:03.159469,2020-08-25 22:12:11.457300,0 days 00:03:08.297831000,8,37,COMPLETE
8,8,0.0019067596653020871,2020-08-25 22:12:13.888000,2020-08-25 22:13:30.693536,0 days 00:01:16.805536000,5,29,COMPLETE
9,9,0.0009025050672913252,2020-08-25 22:13:31.226471,2020-08-25 22:15:42.619282,0 days 00:02:11.392811000,6,38,COMPLETE
10,10,0.0954115123981185,2020-08-25 22:15:43.029985,2020-08-25 22:16:16.640641,0 days 00:00:33.610656000,2,3,COMPLETE
11,11,0.004158425700795733,2020-08-25 22:16:17.300691,2020-08-25 22:19:03.564040,0 days 00:02:46.263349000,11,29,COMPLETE
12,12,0.044849425356098434,2020-08-25 22:19:04.088247,2020-08-25 22:23:40.747152,0 days 00:04:36.658905000,16,28,COMPLETE
13,13,0.0023379522971682825,2020-08-25 22:23:42.200930,2020-08-25 22:25:48.657420,0 days 00:02:06.456490000,10,23,COMPLETE
14,14,0.002589351856721388,2020-08-25 22:25:50.344576,2020-08-25 22:26:49.433380,0 days 00:00:59.088804000,1,34,COMPLETE
15,15,0.001588913716202545,2020-08-25 22:26:50.739507,2020-08-25 22:32:09.056740,0 days 00:05:18.317233000,17,40,COMPLETE
16,16,0.0012351432219620485,2020-08-25 22:32:09.316258,2020-08-25 22:34:15.255678,0 days 00:02:05.939420000,8,23,COMPLETE
17,17,0.005563495433595594,2020-08-25 22:34:16.050571,2020-08-25 22:35:56.421863,0 days 00:01:40.371292000,8,21,COMPLETE
18,18,0.00373655824879467,2020-08-25 22:35:58.631287,2020-08-25 22:37:08.585943,0 days 00:01:09.954656000,7,3,COMPLETE
19,19,0.004291569441588774,2020-08-25 22:37:09.626974,2020-08-25 22:39:30.363490,0 days 00:02:20.736516000,10,25,COMPLETE
20,20,0.006770887700287483,2020-08-25 22:39:31.176951,2020-08-25 22:40:33.186727,0 days 00:01:02.009776000,3,9,COMPLETE
21,21,0.005019000541065309,2020-08-25 22:40:37.518777,2020-08-25 22:43:42.644045,0 days 00:03:05.125268000,13,32,COMPLETE
22,22,0.007074268432486086,2020-08-25 22:43:44.617923,2020-08-25 22:46:35.271183,0 days 00:02:50.653260000,12,18,COMPLETE
23,23,0.002872898449028024,2020-08-25 22:46:36.528947,2020-08-25 22:50:24.280226,0 days 00:03:47.751279000,9,40,COMPLETE
24,24,0.001640838245641336,2020-08-25 22:50:24.736084,2020-08-25 22:52:55.551833,0 days 00:02:30.815749000,6,35,COMPLETE
25,25,0.0058287470729318554,2020-08-25 22:52:55.785724,2020-08-25 22:56:54.958077,0 days 00:03:59.172353000,15,31,COMPLETE
26,26,0.006512557883953735,2020-08-25 22:56:56.682453,2020-08-25 23:02:21.677834,0 days 00:05:24.995381000,18,26,COMPLETE
