,number,value,datetime_start,datetime_complete,duration,params_n_hidden_layers,params_n_neurons_per_layer,state
0,0,0.003929956003910282,2020-08-25 21:29:25.545985,2020-08-25 21:31:38.177605,0 days 00:02:12.631620000,18,30,COMPLETE
1,1,0.0013533519768005947,2020-08-25 21:31:38.502593,2020-08-25 21:32:06.798067,0 days 00:00:28.295474000,3,23,COMPLETE
2,2,0.0022370693356900005,2020-08-25 21:32:07.346202,2020-08-25 21:34:31.527992,0 days 00:02:24.181790000,13,38,COMPLETE
3,3,0.007617718012691917,2020-08-25 21:34:31.982601,2020-08-25 21:35:28.984464,0 days 00:00:57.001863000,11,13,COMPLETE
4,4,0.003906684813322817,2020-08-25 21:35:29.697555,2020-08-25 21:37:53.669281,0 days 00:02:23.971726000,10,40,COMPLETE
5,5,0.0028465179479578795,2020-08-25 21:37:54.143982,2020-08-25 21:40:25.956785,0 days 00:02:31.812803000,13,30,COMPLETE
6,6,0.003430272856542313,2020-08-25 21:40:28.998986,2020-08-25 21:43:05.983777,0 days 00:02:36.984791000,8,15,COMPLETE
7,7,0.0032985228946806507,2020-08-25 21:43:06.786312,2020-08-25 21:45:43.734844,0 days 00:02:36.948532000,8,10,COMPLETE
8,8,0.0007372593872487055,2020-08-25 21:45:44.285013,2020-08-25 21:47:01.202453,0 days 00:01:16.917440000,3,29,COMPLETE
9,9,0.1363981790982266,2020-08-25 21:47:01.922464,2020-08-25 21:48:29.963427,0 days 00:01:28.040963000,9,1,COMPLETE
10,10,0.0033076136797488514,2020-08-25 21:48:30.668355,2020-08-25 21:49:45.412968,0 days 00:01:14.744613000,1,29,COMPLETE
11,11,0.000707092486360478,2020-08-25 21:49:45.898647,2020-08-25 21:50:53.152010,0 days 00:01:07.253363000,2,23,COMPLETE
12,12,0.0011666045838532757,2020-08-25 21:50:54.000464,2020-08-25 21:52:09.546769,0 days 00:01:15.546305000,4,22,COMPLETE
13,13,0.0021661467135704773,2020-08-25 21:52:11.354620,2020-08-25 21:53:04.883249,0 days 00:00:53.528629000,1,27,COMPLETE
14,14,0.000984910036832549,2020-08-25 21:53:05.413033,2020-08-25 21:55:06.402271,0 days 00:02:00.989238000,5,35,COMPLETE
15,15,0.0009427595826664104,2020-08-25 21:55:07.422706,2020-08-25 21:57:44.353560,0 days 00:02:36.930854000,6,18,COMPLETE
16,16,0.07098728346526671,2020-08-25 21:57:44.981703,2020-08-25 21:58:56.103072,0 days 00:01:11.121369000,1,7,COMPLETE
17,17,0.0017325530181297442,2020-08-25 21:58:56.463024,2020-08-25 22:06:26.136917,0 days 00:07:29.673893000,18,34,COMPLETE
18,18,0.0006018551839517708,2020-08-25 22:06:26.493489,2020-08-25 22:07:26.045091,0 days 00:00:59.551602000,3,24,COMPLETE
19,19,0.002092537440369703,2020-08-25 22:07:26.458582,2020-08-25 22:09:00.058592,0 days 00:01:33.600010000,6,24,COMPLETE
20,20,0.0012302785160320303,2020-08-25 22:09:00.701679,2020-08-25 22:10:36.378604,0 days 00:01:35.676925000,2,18,COMPLETE
21,21,0.0014172858952396562,2020-08-25 22:10:39.704029,2020-08-25 22:12:06.751804,0 days 00:01:27.047775000,3,26,COMPLETE
22,22,0.0030647833062445377,2020-08-25 22:12:13.653201,2020-08-25 22:13:30.359933,0 days 00:01:16.706732000,5,20,COMPLETE
23,23,0.000874050104569529,2020-08-25 22:13:31.101401,2020-08-25 22:15:12.907648,0 days 00:01:41.806247000,3,34,COMPLETE
24,24,0.0017307433218039744,2020-08-25 22:15:13.369427,2020-08-25 22:16:38.220232,0 days 00:01:24.850805000,7,27,COMPLETE
25,25,0.0038105004664481454,2020-08-25 22:16:38.471902,2020-08-25 22:17:41.027048,0 days 00:01:02.555146000,1,20,COMPLETE
26,26,0.0006148330884501927,2020-08-25 22:17:41.800875,2020-08-25 22:18:58.222120,0 days 00:01:16.421245000,4,32,COMPLETE
27,27,0.0711879789984157,2020-08-25 22:18:58.522080,2020-08-25 22:24:08.759750,0 days 00:05:10.237670000,20,32,COMPLETE
28,28,0.000745879331337806,2020-08-25 22:24:09.170102,2020-08-25 22:25:37.869356,0 days 00:01:28.699254000,5,25,COMPLETE
29,29,0.0012793456454744884,2020-08-25 22:25:38.994517,2020-08-25 22:27:19.119878,0 days 00:01:40.125361000,4,36,COMPLETE
30,30,0.001166321515335242,2020-08-25 22:27:19.623113,2020-08-25 22:28:39.805552,0 days 00:01:20.182439000,2,32,COMPLETE
31,31,0.0013312428065981221,2020-08-25 22:28:40.557028,2020-08-25 22:30:22.222908,0 days 00:01:41.665880000,3,29,COMPLETE
32,32,0.0018572002184195078,2020-08-25 22:30:23.131688,2020-08-25 22:31:29.859977,0 days 00:01:06.728289000,2,23,COMPLETE
33,33,0.0008120618508926368,2020-08-25 22:31:30.638842,2020-08-25 22:32:47.023225,0 days 00:01:16.384383000,4,31,COMPLETE
34,34,0.0010249268735933238,2020-08-25 22:32:49.091907,2020-08-25 22:35:05.843145,0 days 00:02:16.751238000,6,38,COMPLETE
35,35,0.00047822755297664566,2020-08-25 22:35:06.597144,2020-08-25 22:35:57.794666,0 days 00:00:51.197522000,3,28,COMPLETE
36,36,0.008609363034172928,2020-08-25 22:35:58.457707,2020-08-25 22:38:26.497915,0 days 00:02:28.040208000,12,17,COMPLETE
37,37,0.0016366446033720184,2020-08-25 22:38:28.372859,2020-08-25 22:39:27.288130,0 days 00:00:58.915271000,2,22,COMPLETE
38,38,0.0019419441107186497,2020-08-25 22:39:28.148503,2020-08-25 22:41:13.102180,0 days 00:01:44.953677000,7,26,COMPLETE
39,39,0.0029614850196951177,2020-08-25 22:41:13.682906,2020-08-25 22:42:44.050765,0 days 00:01:30.367859000,4,28,COMPLETE
40,40,0.003522053167339567,2020-08-25 22:42:44.663870,2020-08-25 22:44:46.924942,0 days 00:02:02.261072000,10,12,COMPLETE
41,41,0.00480649901584991,2020-08-25 22:44:47.436325,2020-08-25 22:49:21.705009,0 days 00:04:34.268684000,16,31,COMPLETE
42,42,0.0007041649405799675,2020-08-25 22:49:22.571995,2020-08-25 22:50:55.860584,0 days 00:01:33.288589000,3,24,COMPLETE
43,43,0.0006902612119736152,2020-08-25 22:50:56.186083,2020-08-25 22:52:15.922199,0 days 00:01:19.736116000,2,24,COMPLETE
44,44,0.0008922141031632478,2020-08-25 22:52:16.332326,2020-08-25 22:53:58.721269,0 days 00:01:42.388943000,4,21,COMPLETE
45,45,0.0006945444935288301,2020-08-25 22:53:59.455425,2020-08-25 22:55:10.174783,0 days 00:01:10.719358000,1,25,COMPLETE
46,46,0.0005543478794955533,2020-08-25 22:55:10.632441,2020-08-25 22:56:13.418747,0 days 00:01:02.786306000,1,40,COMPLETE
47,47,0.0014982193507214261,2020-08-25 22:56:14.046455,2020-08-25 22:57:02.632651,0 days 00:00:48.586196000,1,40,COMPLETE
48,48,0.009709814667478433,2020-08-25 22:57:03.131796,2020-08-25 22:58:26.743192,0 days 00:01:23.611396000,2,38,COMPLETE
49,49,0.0007856866502654755,2020-08-25 22:58:27.447114,2020-08-25 23:01:41.902676,0 days 00:03:14.455562000,5,37,COMPLETE
50,50,0.03760015032826682,2020-08-25 23:01:43.999663,2020-08-25 23:04:48.321674,0 days 00:03:04.322011000,7,33,COMPLETE
51,51,0.003369758240483656,2020-08-25 23:04:50.760223,2020-08-25 23:05:44.320027,0 days 00:00:53.559804000,1,28,COMPLETE
52,52,0.003885165420355721,2020-08-25 23:05:45.194928,2020-08-25 23:06:47.123478,0 days 00:01:01.928550000,1,25,COMPLETE
53,53,0.0007567514286844881,2020-08-25 23:06:47.522719,2020-08-25 23:08:36.546897,0 days 00:01:49.024178000,3,30,COMPLETE
54,54,0.0004328406544111349,2020-08-25 23:08:37.452558,2020-08-25 23:09:37.882614,0 days 00:01:00.430056000,2,27,COMPLETE
55,55,0.00141642573704995,2020-08-25 23:09:39.034827,2020-08-25 23:11:02.659052,0 days 00:01:23.624225000,2,27,COMPLETE
56,56,0.000672827678143424,2020-08-25 23:11:03.957882,2020-08-25 23:12:21.211874,0 days 00:01:17.253992000,4,22,COMPLETE
57,57,0.0007873082062768033,2020-08-25 23:12:21.999123,2020-08-25 23:13:57.993885,0 days 00:01:35.994762000,4,40,COMPLETE
58,58,0.002703783995610508,2020-08-25 23:13:58.726640,2020-08-25 23:15:27.365529,0 days 00:01:28.638889000,5,19,COMPLETE
59,59,0.003785533489155015,2020-08-25 23:15:28.209075,2020-08-25 23:17:23.070080,0 days 00:01:54.861005000,8,21,COMPLETE
60,60,0.0012037912295819516,2020-08-25 23:17:24.998561,2020-08-25 23:18:52.408502,0 days 00:01:27.409941000,6,17,COMPLETE
61,61,0.0003870865393514788,2020-08-25 23:18:53.247215,2020-08-25 23:20:50.491147,0 days 00:01:57.243932000,3,23,COMPLETE
62,62,0.000496439358155131,2020-08-25 23:20:50.981687,2020-08-25 23:22:41.652726,0 days 00:01:50.671039000,3,22,COMPLETE
63,63,0.0005687697473233266,2020-08-25 23:22:44.344426,2020-08-25 23:23:37.588446,0 days 00:00:53.244020000,3,28,COMPLETE
64,64,0.0011942195011889797,2020-08-25 23:23:39.021508,2020-08-25 23:25:02.303151,0 days 00:01:23.281643000,3,16,COMPLETE
65,65,0.0007949733903576798,2020-08-25 23:25:06.153221,2020-08-25 23:26:03.448927,0 days 00:00:57.295706000,3,26,COMPLETE
66,66,0.0029958201857461387,2020-08-25 23:26:04.885264,2020-08-25 23:26:52.010899,0 days 00:00:47.125635000,2,23,COMPLETE
67,67,0.00896348565648035,2020-08-25 23:26:53.214409,2020-08-25 23:27:52.605128,0 days 00:00:59.390719000,5,6,COMPLETE
68,68,0.004440048089563289,2020-08-25 23:27:53.118113,2020-08-25 23:29:13.733578,0 days 00:01:20.615465000,3,29,COMPLETE
69,69,0.005953265783559236,2020-08-25 23:29:14.561355,2020-08-25 23:32:24.292928,0 days 00:03:09.731573000,15,19,COMPLETE
70,70,0.00623248214252417,2020-08-25 23:32:25.563585,2020-08-25 23:33:29.037027,0 days 00:01:03.473442000,1,14,COMPLETE
71,71,0.0004064106077822452,2020-08-25 23:33:30.006827,2020-08-25 23:34:38.361102,0 days 00:01:08.354275000,4,28,COMPLETE
72,72,0.0006560293413249675,2020-08-25 23:34:39.163232,2020-08-25 23:35:45.347043,0 days 00:01:06.183811000,3,28,COMPLETE
73,73,0.0005308039898795409,2020-08-25 23:35:45.763240,2020-08-25 23:36:33.672138,0 days 00:00:47.908898000,2,30,COMPLETE
74,74,0.0020905140609727853,2020-08-25 23:36:34.837760,2020-08-25 23:37:05.647589,0 days 00:00:30.809829000,1,26,COMPLETE
75,75,0.0010267215774255021,2020-08-25 23:37:08.227666,2020-08-25 23:37:56.686610,0 days 00:00:48.458944000,2,30,COMPLETE
76,76,0.0005927684588295613,2020-08-25 23:37:57.464793,2020-08-25 23:39:14.644684,0 days 00:01:17.179891000,2,28,COMPLETE
77,77,0.0005351342356399268,2020-08-25 23:39:15.044933,2020-08-25 23:40:59.758084,0 days 00:01:44.713151000,4,34,COMPLETE
78,78,0.00048742857599488214,2020-08-25 23:41:00.070277,2020-08-25 23:42:29.485730,0 days 00:01:29.415453000,4,33,COMPLETE
79,79,0.0011595696502580614,2020-08-25 23:42:29.902541,2020-08-25 23:44:36.756304,0 days 00:02:06.853763000,5,35,COMPLETE
80,80,0.0020875635279712073,2020-08-25 23:44:37.955119,2020-08-25 23:46:48.844944,0 days 00:02:10.889825000,6,33,COMPLETE
81,81,0.008934634779568563,2020-08-25 23:46:49.408426,2020-08-25 23:48:23.683071,0 days 00:01:34.274645000,4,34,COMPLETE
82,82,0.0006058424609659624,2020-08-25 23:48:24.646992,2020-08-25 23:49:36.322687,0 days 00:01:11.675695000,4,31,COMPLETE
83,83,0.0008983005180038449,2020-08-25 23:49:37.564360,2020-08-25 23:50:28.131010,0 days 00:00:50.566650000,2,30,COMPLETE
84,84,0.0009260731279091419,2020-08-25 23:50:30.539398,2020-08-25 23:52:31.782197,0 days 00:02:01.242799000,5,36,COMPLETE
85,85,0.0008605340577862563,2020-08-25 23:52:32.504520,2020-08-25 23:53:32.404076,0 days 00:00:59.899556000,3,32,COMPLETE
86,86,0.0007877089028758879,2020-08-25 23:53:33.278421,2020-08-25 23:54:59.301166,0 days 00:01:26.022745000,4,27,COMPLETE
87,87,0.0011911318028654998,2020-08-25 23:55:01.874454,2020-08-25 23:56:35.984573,0 days 00:01:34.110119000,1,33,COMPLETE
88,88,0.0006803838127009328,2020-08-25 23:56:37.864103,2020-08-25 23:58:02.092592,0 days 00:01:24.228489000,2,30,COMPLETE
89,89,0.001668825047262964,2020-08-25 23:58:03.319013,2020-08-26 00:00:39.382985,0 days 00:02:36.063972000,6,25,COMPLETE
90,90,0.0024988334912594036,2020-08-26 00:00:41.723718,2020-08-26 00:02:43.882279,0 days 00:02:02.158561000,4,39,COMPLETE
91,91,0.000815670138077893,2020-08-26 00:02:44.955703,2020-08-26 00:03:50.825613,0 days 00:01:05.869910000,3,29,COMPLETE
92,92,0.0008171493253317411,2020-08-26 00:03:52.327780,2020-08-26 00:05:00.241202,0 days 00:01:07.913422000,3,31,COMPLETE
93,93,0.007513277021389333,2020-08-26 00:05:01.476395,2020-08-26 00:07:19.257131,0 days 00:02:17.780736000,9,22,COMPLETE
94,94,0.0009904062007145883,2020-08-26 00:07:19.750028,2020-08-26 00:08:31.075574,0 days 00:01:11.325546000,3,28,COMPLETE
95,95,0.0016400970719090836,2020-08-26 00:08:32.177183,2020-08-26 00:09:47.618149,0 days 00:01:15.440966000,4,27,COMPLETE
96,96,0.0022525953137405453,2020-08-26 00:09:48.621505,2020-08-26 00:11:09.631830,0 days 00:01:21.010325000,2,24,COMPLETE
97,97,0.0012805329633271128,2020-08-26 00:11:10.944403,2020-08-26 00:12:06.006863,0 days 00:00:55.062460000,2,35,COMPLETE
98,98,0.0026757993903158785,2020-08-26 00:12:06.535901,2020-08-26 00:14:24.215884,0 days 00:02:17.679983000,5,29,COMPLETE
99,99,0.002521401580785949,2020-08-26 00:14:25.557496,2020-08-26 00:15:29.334697,0 days 00:01:03.777201000,1,26,COMPLETE
100,100,0.0005558068187574009,2020-08-26 00:15:30.975354,2020-08-26 00:17:16.537421,0 days 00:01:45.562067000,3,31,COMPLETE
101,101,0.0004797640055421947,2020-08-26 00:17:18.753522,2020-08-26 00:18:16.318001,0 days 00:00:57.564479000,3,31,COMPLETE
102,102,0.0006252857967014425,2020-08-26 00:18:17.670695,2020-08-26 00:19:45.887017,0 days 00:01:28.216322000,4,31,COMPLETE
103,103,0.0003774579840652261,2020-08-26 00:19:47.084008,2020-08-26 00:21:12.665163,0 days 00:01:25.581155000,3,33,COMPLETE
104,104,0.000600522748620174,2020-08-26 00:21:13.117521,2020-08-26 00:22:10.597601,0 days 00:00:57.480080000,2,33,COMPLETE
105,105,0.001229297459488933,2020-08-26 00:22:11.755993,2020-08-26 00:23:30.430070,0 days 00:01:18.674077000,3,37,COMPLETE
106,106,0.0009658439465992453,2020-08-26 00:23:30.740051,2020-08-26 00:25:00.068872,0 days 00:01:29.328821000,5,32,COMPLETE
107,107,0.000616948029513901,2020-08-26 00:25:01.490846,2020-08-26 00:26:27.000347,0 days 00:01:25.509501000,4,35,COMPLETE
108,108,0.0004522254102111745,2020-08-26 00:26:27.541122,2020-08-26 00:27:44.598875,0 days 00:01:17.057753000,2,36,COMPLETE
109,109,0.0008626482201852658,2020-08-26 00:27:46.885436,2020-08-26 00:28:42.132858,0 days 00:00:55.247422000,2,34,COMPLETE
110,110,0.0005884352104463969,2020-08-26 00:28:42.644034,2020-08-26 00:30:04.268882,0 days 00:01:21.624848000,3,36,COMPLETE
111,111,0.0027374454549947027,2020-08-26 00:30:05.034410,2020-08-26 00:31:15.922570,0 days 00:01:10.888160000,1,34,COMPLETE
112,112,0.0012438092029860674,2020-08-26 00:31:17.304948,2020-08-26 00:33:18.782561,0 days 00:02:01.477613000,2,37,COMPLETE
113,113,0.0036755768987118856,2020-08-26 00:33:19.724055,2020-08-26 00:34:07.530234,0 days 00:00:47.806179000,1,32,COMPLETE
114,114,0.0005824083910989403,2020-08-26 00:34:08.271017,2020-08-26 00:35:16.132237,0 days 00:01:07.861220000,3,38,COMPLETE
115,115,0.0014157297721297676,2020-08-26 00:35:16.348153,2020-08-26 00:36:24.581944,0 days 00:01:08.233791000,4,29,COMPLETE
116,116,0.003128223401715239,2020-08-26 00:36:25.542758,2020-08-26 00:37:32.985537,0 days 00:01:07.442779000,3,39,COMPLETE
117,117,0.0013134062939473626,2020-08-26 00:37:34.411267,2020-08-26 00:38:34.922752,0 days 00:01:00.511485000,2,33,COMPLETE
118,118,0.004426693685545224,2020-08-26 00:38:37.600988,2020-08-26 00:39:53.255633,0 days 00:01:15.654645000,4,23,COMPLETE
119,119,0.0035322467593360864,2020-08-26 00:39:55.081524,2020-08-26 00:40:45.265684,0 days 00:00:50.184160000,1,21,COMPLETE
120,120,0.000481193827079266,2020-08-26 00:40:47.988048,2020-08-26 00:42:02.051994,0 days 00:01:14.063946000,3,30,COMPLETE
121,121,0.0005336958263379072,2020-08-26 00:42:02.368763,2020-08-26 00:43:12.289603,0 days 00:01:09.920840000,3,30,COMPLETE
122,122,0.0012201452656100487,2020-08-26 00:43:12.834404,2020-08-26 00:44:17.600288,0 days 00:01:04.765884000,3,30,COMPLETE
123,123,0.0023993672912686597,2020-08-26 00:44:18.825833,2020-08-26 00:45:48.621208,0 days 00:01:29.795375000,4,27,COMPLETE
124,124,0.0007071055615703467,2020-08-26 00:45:49.277100,2020-08-26 00:46:39.316075,0 days 00:00:50.038975000,2,30,COMPLETE
125,125,0.00046826611027375584,2020-08-26 00:46:39.810289,2020-08-26 00:47:47.182592,0 days 00:01:07.372303000,3,32,COMPLETE
