,number,value,datetime_start,datetime_complete,duration,params_n_hidden_layers,params_n_neurons_per_layer,state
0,0,0.0034848836981034273,2020-08-23 11:52:03.957846,2020-08-23 11:54:41.232982,0 days 00:02:37.275136000,6,25,COMPLETE
1,1,0.0044170737491227175,2020-08-23 11:54:41.233661,2020-08-23 11:57:01.481164,0 days 00:02:20.247503000,6,18,COMPLETE
2,2,0.004035191756915889,2020-08-23 11:57:01.481840,2020-08-23 11:59:36.057985,0 days 00:02:34.576145000,6,24,COMPLETE
3,3,0.007703120727909695,2020-08-23 11:59:36.058647,2020-08-23 12:02:00.068452,0 days 00:02:24.009805000,6,20,COMPLETE
4,4,0.003983229204837163,2020-08-23 12:02:00.069117,2020-08-23 12:04:40.289050,0 days 00:02:40.219933000,8,16,COMPLETE
5,5,0.014454252551031058,2020-08-23 12:04:40.289707,2020-08-23 12:08:12.933864,0 days 00:03:32.644157000,9,22,COMPLETE
6,6,0.003598382750132568,2020-08-23 12:08:12.934529,2020-08-23 12:11:05.850479,0 days 00:02:52.915950000,7,23,COMPLETE
7,7,0.006764534549425105,2020-08-23 12:11:05.851120,2020-08-23 12:14:55.173819,0 days 00:03:49.322699000,10,21,COMPLETE
8,8,0.003327622735350194,2020-08-23 12:14:55.174494,2020-08-23 12:16:58.156730,0 days 00:02:02.982236000,5,19,COMPLETE
9,9,0.003994136516895156,2020-08-23 12:16:58.157354,2020-08-23 12:18:56.465238,0 days 00:01:58.307884000,5,17,COMPLETE
10,10,0.0043458385471440535,2020-08-23 12:18:56.465869,2020-08-23 12:20:58.257757,0 days 00:02:01.791888000,5,19,COMPLETE
11,11,0.006502493615398837,2020-08-23 12:20:58.258374,2020-08-23 12:23:12.779832,0 days 00:02:14.521458000,5,25,COMPLETE
12,12,0.006439586947181979,2020-08-23 12:23:12.780446,2020-08-23 12:25:35.241946,0 days 00:02:22.461500000,7,15,COMPLETE
13,13,0.007629027389462082,2020-08-23 12:25:35.242575,2020-08-23 12:27:59.194870,0 days 00:02:23.952295000,6,20,COMPLETE
14,14,0.0029023644495936246,2020-08-23 12:27:59.195498,2020-08-23 12:29:59.594411,0 days 00:02:00.398913000,5,18,COMPLETE
15,15,0.00435329392557588,2020-08-23 12:29:59.595033,2020-08-23 12:32:00.018149,0 days 00:02:00.423116000,5,18,COMPLETE
16,16,0.011979061369585363,2020-08-23 12:32:00.018798,2020-08-23 12:34:39.374259,0 days 00:02:39.355461000,8,15,COMPLETE
17,17,0.004056434727780089,2020-08-23 12:34:39.374882,2020-08-23 12:36:39.753119,0 days 00:02:00.378237000,5,18,COMPLETE
18,18,0.004323282082975512,2020-08-23 12:36:39.753765,2020-08-23 12:39:20.777184,0 days 00:02:41.023419000,7,19,COMPLETE
19,19,0.0044448072337654985,2020-08-23 12:39:20.777827,2020-08-23 12:42:51.274398,0 days 00:03:30.496571000,10,17,COMPLETE
