,number,value,datetime_start,datetime_complete,duration,params_n_hidden_layers,params_n_neurons_per_layer,state
0,0,,2021-03-19 08:44:54.561747,,,13,9,RUNNING
1,1,,2021-03-19 08:45:12.017366,,,4,39,RUNNING
2,2,,2021-03-19 08:45:12.374821,,,2,3,RUNNING
3,3,0.6996459913300735,2021-03-19 09:35:36.845978,2021-03-19 09:35:53.339006,0 days 00:00:16.493028,17,1,COMPLETE
4,4,0.7071125215563665,2021-03-19 09:35:53.558050,2021-03-19 09:36:04.962473,0 days 00:00:11.404423,11,17,COMPLETE
5,5,0.7130414029724391,2021-03-19 09:37:14.416987,2021-03-19 09:37:34.006462,0 days 00:00:19.589475,16,23,COMPLETE
6,6,0.7142937840761714,2021-03-19 09:37:34.191777,2021-03-19 09:37:45.858445,0 days 00:00:11.666668,16,13,COMPLETE
7,7,0.5474424245183483,2021-03-19 09:40:35.909671,2021-03-19 09:40:46.883499,0 days 00:00:10.973828,2,9,COMPLETE
8,8,0.25873532918418296,2021-03-19 09:40:47.033507,2021-03-19 09:40:58.783905,0 days 00:00:11.750398,11,1,COMPLETE
9,9,2.1712317027673777e-09,2021-03-19 10:10:55.228352,2021-03-19 11:42:28.829826,0 days 01:31:33.601474,20,22,COMPLETE
10,10,4.089147411683151e-11,2021-03-19 10:11:13.199320,2021-03-19 13:02:07.874194,0 days 02:50:54.674874,11,35,COMPLETE
11,11,1.9919660474234479e-10,2021-03-19 10:11:37.239772,2021-03-19 13:22:13.143074,0 days 03:10:35.903302,2,11,COMPLETE
12,12,,2021-03-19 10:17:15.690565,,,10,37,RUNNING
13,13,,2021-03-19 10:20:25.114454,,,19,14,RUNNING
14,14,3.433148158940564e-11,2021-03-19 10:47:57.417515,2021-03-19 13:27:21.986580,0 days 02:39:24.569065,10,17,COMPLETE
15,15,,2021-03-19 10:55:57.057435,,,20,3,RUNNING
16,16,2.110396741888383e-11,2021-03-19 10:59:17.172891,2021-03-19 12:59:44.404896,0 days 02:00:27.232005,5,32,COMPLETE
17,17,2.207704713715894e-11,2021-03-19 11:01:23.941508,2021-03-19 22:56:11.303202,0 days 11:54:47.361694,2,11,COMPLETE
18,18,6.122049380344998e-11,2021-03-19 11:18:13.161534,2021-03-19 13:42:36.813968,0 days 02:24:23.652434,8,21,COMPLETE
19,19,8.616582455309035e-11,2021-03-19 11:23:29.254749,2021-03-19 15:19:35.307403,0 days 03:56:06.052654,2,35,COMPLETE
20,20,,2021-03-19 11:29:17.719194,,,9,9,RUNNING
21,21,,2021-03-19 11:35:31.233193,,,4,31,RUNNING
22,22,,2021-03-19 11:35:35.653708,,,5,6,RUNNING
23,23,4.909499333577775e-11,2021-03-19 11:42:30.207353,2021-03-19 15:24:48.692879,0 days 03:42:18.485526,12,37,COMPLETE
24,24,3.948232155503675e-10,2021-03-19 11:59:51.610671,2021-03-19 14:43:23.789118,0 days 02:43:32.178447,20,33,COMPLETE
25,25,1.833379903291332e-11,2021-03-19 12:01:57.528516,2021-03-19 13:56:02.306084,0 days 01:54:04.777568,11,17,COMPLETE
26,26,1.251559233296742e-10,2021-03-19 12:11:09.559985,2021-03-19 14:40:07.103585,0 days 02:28:57.543600,10,17,COMPLETE
27,27,1.3803828034647614e-10,2021-03-19 12:23:38.279827,2021-03-19 19:14:30.415060,0 days 06:50:52.135233,15,11,COMPLETE
28,28,2.159962884161061e-11,2021-03-19 12:41:04.604644,2021-03-19 17:07:21.477645,0 days 04:26:16.873001,17,17,COMPLETE
29,29,1.471614095673186e-10,2021-03-19 12:47:35.390998,2021-03-19 16:40:54.199879,0 days 03:53:18.808881,8,11,COMPLETE
30,30,8.349159939832741e-11,2021-03-19 12:59:45.835522,2021-03-19 15:37:30.066051,0 days 02:37:44.230529,13,22,COMPLETE
31,31,1.3423258711812628e-11,2021-03-19 13:01:02.084455,2021-03-19 22:37:00.260720,0 days 09:35:58.176265,9,5,COMPLETE
32,32,4.7596482489502733e-11,2021-03-19 13:02:09.156043,2021-03-19 14:20:15.470978,0 days 01:18:06.314935,19,14,COMPLETE
33,33,3.757126387490906e-11,2021-03-19 13:13:49.710891,2021-03-19 18:18:07.954114,0 days 05:04:18.243223,14,38,COMPLETE
34,34,1.2575646812875578e-11,2021-03-19 13:22:13.257118,2021-03-19 15:51:51.950540,0 days 02:29:38.693422,6,39,COMPLETE
35,35,1.1867761301808676e-11,2021-03-19 13:27:22.109706,2021-03-19 17:29:08.986161,0 days 04:01:46.876455,6,33,COMPLETE
36,36,2.056838499447778e-10,2021-03-19 13:41:30.912365,2021-03-19 17:10:42.104640,0 days 03:29:11.192275,6,34,COMPLETE
37,37,1.8812768847756917e-11,2021-03-19 13:42:36.886620,2021-03-19 16:06:09.920293,0 days 02:23:33.033673,6,33,COMPLETE
38,38,9.201929978592471e-12,2021-03-19 13:56:02.368693,2021-03-19 15:47:51.094488,0 days 01:51:48.725795,6,31,COMPLETE
39,39,4.3914662712121674e-12,2021-03-19 13:58:43.734827,2021-03-19 16:35:36.698239,0 days 02:36:52.963412,6,31,COMPLETE
40,40,5.440078459939667e-12,2021-03-19 14:07:02.386560,2021-03-19 17:51:39.970614,0 days 03:44:37.584054,5,31,COMPLETE
41,41,,2021-03-19 14:20:23.724174,,,5,31,RUNNING
42,42,2.9292313584003703e-10,2021-03-19 14:40:07.212325,2021-03-19 17:47:56.971548,0 days 03:07:49.759223,6,30,COMPLETE
43,43,1.6589779082488523e-10,2021-03-19 14:43:24.020044,2021-03-19 16:40:53.916959,0 days 01:57:29.896915,5,27,COMPLETE
44,44,1.2296328609552236e-10,2021-03-19 15:08:18.552936,2021-03-19 17:34:09.785626,0 days 02:25:51.232690,5,30,COMPLETE
45,45,3.700133963424544e-10,2021-03-19 15:19:02.836667,2021-03-19 19:13:32.486053,0 days 03:54:29.649386,5,28,COMPLETE
46,46,6.612705770619298e-11,2021-03-19 15:19:35.383261,2021-03-19 18:45:45.272689,0 days 03:26:09.889428,6,28,COMPLETE
47,47,,2021-03-19 15:37:12.213233,,,5,30,RUNNING
48,48,8.012405145608525e-12,2021-03-19 15:38:12.954872,2021-03-19 17:30:03.469239,0 days 01:51:50.514367,6,28,COMPLETE
49,49,4.609662489105587e-12,2021-03-19 16:05:48.974990,2021-03-19 18:20:25.374170,0 days 02:14:36.399180,6,28,COMPLETE
50,50,1.8063581193327156e-11,2021-03-19 16:06:48.992120,2021-03-19 19:17:56.969072,0 days 03:11:07.976952,5,27,COMPLETE
51,51,,2021-03-19 16:17:53.355407,,,5,28,RUNNING
52,52,2.4842711226874144e-10,2021-03-19 16:35:36.855788,2021-03-19 19:08:41.588215,0 days 02:33:04.732427,5,28,COMPLETE
53,53,1.4626658970801394e-10,2021-03-19 16:40:54.500358,2021-03-19 19:44:25.380146,0 days 03:03:30.879788,4,28,COMPLETE
54,54,1.2120871550131298e-12,2021-03-19 17:07:21.548834,2021-03-19 20:22:57.534419,0 days 03:15:35.985585,4,40,COMPLETE
55,55,3.3426685545085897e-11,2021-03-19 17:10:42.358104,2021-03-19 20:46:20.311450,0 days 03:35:37.953346,7,40,COMPLETE
56,56,3.1323939037369856e-10,2021-03-19 17:25:40.763119,2021-03-19 21:11:46.961409,0 days 03:46:06.198290,4,39,COMPLETE
57,57,4.7118967820400445e-11,2021-03-19 17:29:17.820013,2021-03-19 23:08:11.415475,0 days 05:38:53.595462,4,27,COMPLETE
58,58,5.580760589587254e-10,2021-03-19 17:30:03.566948,2021-03-19 22:28:46.202731,0 days 04:58:42.635783,4,28,COMPLETE
59,59,2.1460185776183538e-11,2021-03-19 17:30:24.379226,2021-03-19 20:55:26.134317,0 days 03:25:01.755091,4,29,COMPLETE
60,60,4.84607960649745e-11,2021-03-19 17:34:09.869375,2021-03-19 19:25:27.801609,0 days 01:51:17.932234,8,27,COMPLETE
61,61,6.2967058598575535e-12,2021-03-19 17:38:40.614680,2021-03-19 20:56:29.527390,0 days 03:17:48.912710,8,28,COMPLETE
62,62,3.609194913013551e-11,2021-03-19 17:38:56.749293,2021-03-19 21:01:32.920645,0 days 03:22:36.171352,3,27,COMPLETE
63,63,2.0914170218494303e-11,2021-03-19 17:48:06.660812,2021-03-19 21:23:53.387703,0 days 03:35:46.726891,8,26,COMPLETE
64,64,5.516837952343939e-11,2021-03-19 17:51:40.184984,2021-03-19 19:34:17.366164,0 days 01:42:37.181180,3,26,COMPLETE
65,65,3.48105551583374e-12,2021-03-19 18:12:39.578461,2021-03-19 21:19:09.870428,0 days 03:06:30.291967,8,26,COMPLETE
66,66,1.8832329394292253e-10,2021-03-19 18:18:08.229479,2021-03-19 20:36:44.412557,0 days 02:18:36.183078,8,26,COMPLETE
67,67,4.8215593968979634e-11,2021-03-19 18:20:25.440544,2021-03-19 21:28:25.756052,0 days 03:08:00.315508,8,26,COMPLETE
68,68,3.009897021819658e-10,2021-03-19 18:34:14.285071,2021-03-19 20:51:35.264468,0 days 02:17:20.979397,3,26,COMPLETE
69,69,3.075361530475999e-10,2021-03-19 18:45:53.523720,2021-03-19 21:03:13.503134,0 days 02:17:19.979414,3,25,COMPLETE
70,70,4.87249030134203e-11,2021-03-19 19:05:16.551069,2021-03-19 21:13:23.842052,0 days 02:08:07.290983,8,26,COMPLETE
71,71,2.475126842633949e-09,2021-03-19 19:05:16.901367,2021-03-19 22:35:19.474901,0 days 03:30:02.573534,3,26,COMPLETE
72,72,2.6727789134219914e-11,2021-03-19 19:05:24.681109,2021-03-19 21:04:36.202135,0 days 01:59:11.521026,3,25,COMPLETE
73,73,3.884867168729746e-10,2021-03-19 19:09:07.646261,2021-03-19 21:50:46.373874,0 days 02:41:38.727613,3,26,COMPLETE
74,74,5.171107612402983e-11,2021-03-19 19:13:32.578371,2021-03-19 20:53:53.319839,0 days 01:40:20.741468,3,24,COMPLETE
75,75,1.8654879930505696e-09,2021-03-19 19:14:30.582100,2021-03-19 20:42:34.796184,0 days 01:28:04.214084,3,25,COMPLETE
76,76,1.5089470584410973e-09,2021-03-19 19:17:57.040230,2021-03-19 20:58:02.624331,0 days 01:40:05.584101,3,24,COMPLETE
77,77,4.705301398913705e-10,2021-03-19 19:21:47.026667,2021-03-19 23:09:03.330927,0 days 03:47:16.304260,3,25,COMPLETE
78,78,,2021-03-19 19:28:35.567938,,,3,24,RUNNING
79,79,6.6135247740233445e-09,2021-03-19 20:23:26.337370,2021-03-20 00:25:01.863988,0 days 04:01:35.526618,1,25,COMPLETE
80,80,,2021-03-19 20:38:17.366124,,,1,40,RUNNING
81,81,2.6574256117428812e-09,2021-03-19 20:41:09.720815,2021-03-19 23:59:24.562920,0 days 03:18:14.842105,3,24,COMPLETE
82,82,8.340406184146712e-09,2021-03-19 20:51:35.372437,2021-03-19 22:57:19.854123,0 days 02:05:44.481686,1,36,COMPLETE
83,83,3.493292000377991e-09,2021-03-19 20:54:00.344193,2021-03-19 23:36:42.292235,0 days 02:42:41.948042,1,36,COMPLETE
84,84,2.4233495810413223e-10,2021-03-19 20:55:26.391075,2021-03-20 01:11:24.328747,0 days 04:15:57.937672,1,31,COMPLETE
85,85,,2021-03-19 20:56:29.804740,,,1,36,RUNNING
86,86,,2021-03-19 21:01:33.102638,,,9,36,RUNNING
87,87,,2021-03-19 21:03:13.628103,,,9,36,RUNNING
88,88,,2021-03-19 21:04:36.292412,,,1,36,RUNNING
89,89,,2021-03-19 21:11:47.031544,,,9,36,RUNNING
90,90,,2021-03-19 21:13:24.046791,,,1,5,RUNNING
91,91,,2021-03-19 21:19:10.084379,,,1,20,RUNNING
92,92,,2021-03-19 21:23:53.510723,,,9,36,RUNNING
93,93,1.7843104029823508e-11,2021-03-19 21:50:46.583254,2021-03-20 00:47:58.120940,0 days 02:57:11.537686,9,19,COMPLETE
94,94,,2021-03-19 22:35:19.563176,,,9,36,RUNNING
95,95,,2021-03-19 22:37:00.342868,,,1,36,RUNNING
96,96,,2021-03-19 22:56:11.432364,,,7,36,RUNNING
97,97,2.6488156196992112e-11,2021-03-19 22:58:19.042106,2021-03-20 01:07:59.884311,0 days 02:09:40.842205,7,20,COMPLETE
98,98,2.3178494711970452e-11,2021-03-19 23:06:16.347606,2021-03-20 01:24:57.078791,0 days 02:18:40.731185,7,20,COMPLETE
99,99,7.214233184002014e-11,2021-03-19 23:08:11.519721,2021-03-20 00:59:03.177921,0 days 01:50:51.658200,7,31,COMPLETE
100,100,,2021-03-19 23:09:03.498534,,,7,21,RUNNING
101,101,4.998311941804863e-11,2021-03-19 23:17:37.512018,2021-03-20 01:32:39.360418,0 days 02:15:01.848400,7,20,COMPLETE
102,102,7.452372685860206e-12,2021-03-19 23:36:42.379645,2021-03-20 01:40:55.603193,0 days 02:04:13.223548,7,19,COMPLETE
103,103,,2021-03-19 23:59:24.775750,,,7,20,RUNNING
104,104,,2021-03-20 00:25:01.983461,,,7,21,RUNNING
105,105,,2021-03-20 00:48:06.020740,,,7,32,RUNNING
106,106,,2021-03-20 01:08:00.069543,,,9,32,RUNNING
107,107,,2021-03-20 01:24:57.234018,,,9,32,RUNNING
108,108,,2021-03-20 01:32:39.456306,,,9,30,RUNNING
